starvation_correct,trial_correct,i3S,coral_cam,Kilo_cam,Exp_n,Cage,date_cuno_in,time_cuno_in,ray1,ray2,cuno_size,cuno_location_found,grid,cuno_depth,color,tag_n,used,days_starved,date_coral_in,time_coral_in,date_finish,time_finish,trial_length,combo_specific_spp,combo_general_spp,coral_n,coral_spp_PISFC,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,p_alive_start_1,symbionts_1,p_alive_end_1,p_consumed_1,ranking_coral,rank_n,ate,N_eaten,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,order determined with video?,evidence from video,number of videos spent eating,date/time start eating,coral.visited.first,visited.coral.ate.first,comments
Y,Y,Y,N,N,1,C077,10/1/2020,1:00:00 PM,12.5,13,17,Split,N/A,25,yellow/brown,N066,N,7,10/8/2020,10:09:00 AM,10/15/2020,9:57:00 AM,7,PMEA_PLOB,PMEA_PLOB,1,PLOB,PORM,NORTH,MD,11,9.5,3.5,50,0,50,0,NOT_EATEN,0,NO,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"ate whole PMEA by 10/13, (probably meandrina and lobata)"
Y,Y,Y,N,N,1,C077,10/1/2020,1:00:00 PM,12.5,13,17,Split,N/A,25,yellow/brown,N066,N,7,10/8/2020,10:09:00 AM,10/15/2020,9:57:00 AM,7,PMEA_PLOB,PMEA_PLOB,2,PMEA,POSP,SOUTH,BR,12.5,9,7.5,60,0,0,1,FIRST,2,YES,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"ate whole PMEA by 10/13, (probably meandrina and lobata)"
Y,Y,Y,N,N,2,C078,10/1/2020,1:00:00 PM,11.4,11.6,17,Split,N/A,28,green/blue,N064,N,7,10/8/2020,10:29:00 AM,10/15/2020,10:05:00 AM,7,PMEA_PLOB,PMEA_PLOB,1,PLOB,PORM,NORTH,MD,6,5.3,8,100,0,100,0,NOT_EATEN,0,NO,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"ate whole PMEA by 10/13, (probably meandrina and lobata)"
Y,Y,Y,N,N,2,C078,10/1/2020,1:00:00 PM,11.4,11.6,17,Split,N/A,28,green/blue,N064,N,7,10/8/2020,10:29:00 AM,10/15/2020,10:05:00 AM,7,PMEA_PLOB,PMEA_PLOB,2,PMEA,POSP,SOUTH,BR,6.5,4.5,4.5,90,0,10,0.89,FIRST,2,YES,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"ate whole PMEA by 10/13, (probably meandrina and lobata)"
Y,Y,Y,N,N,4,C080,10/1/2020,1:00:00 PM,11,10.5,17.5,Stump,N/A,20,dark blue,N027,N027,7,10/8/2020,1:00:00 PM,10/15/2020,10:22:00 AM,7,PMEA_PLOB,PMEA_PLOB,1,PLOB,PORM,NORTH,MD,12.5,8.5,8,80,0,80,0,NOT_EATEN,0,NO,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"PLOB had some spotitng, (probably meandrina and lobata)"
Y,Y,Y,N,N,4,C080,10/1/2020,1:00:00 PM,11,10.5,17.5,Stump,N/A,20,dark blue,N027,N027,7,10/8/2020,1:00:00 PM,10/15/2020,10:22:00 AM,7,PMEA_PLOB,PMEA_PLOB,2,PMEA,POSP,SOUTH,BR,14.5,10,8.5,85,0,60,0.29,FIRST,2,YES,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"PLOB had some spotitng, (probably meandrina and lobata)"
Y,Y,Y,N,N,5,C081,10/1/2020,,12.5,12.1,20,Split,N/A,22,green,N067,N,7,10/8/2020,1:18:00 PM,10/15/2020,10:31:00 AM,7,PMEA_PLOB,PMEA_PLOB,1,PLOB,PORM,SOUTH,MD,5.6,4,3.9,100,0,100,0,NOT_EATEN,0,NO,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"PMEA in this cage very pale, ate some PMEA by 10/13, (probably meandrina and lobata)"
Y,Y,Y,N,N,5,C081,10/1/2020,1:00:00 PM,12.5,12.1,20,Split,N/A,22,green,N067,N,7,10/8/2020,1:18:00 PM,10/15/2020,10:31:00 AM,7,PMEA_PLOB,PMEA_PLOB,2,PMEA,POSP,NORTH,BR,5,3,6.5,95,0,0,1,FIRST,2,YES,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"PMEA in this cage very pale, ate some PMEA by 10/13, (probably meandrina and lobata)"
N,Y,Y,N,N,6,C077,10/13/2020,2:30:00 PM,9.5,9.5,16,Stump,N/A,19,green,N045,N045,9,10/22/2020,9:54:00 AM,10/29/2020,10:48:00 AM,7,PMEA_PLOB,PMEA_PLOB,1,PLOB,PORM,SOUTH,MD,12,9,9,60,0,60,0,NOT_EATEN,0,NO,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"PLOB pale starting. Only ate POC, complete mortality"
N,Y,Y,N,N,6,C077,10/13/2020,2:30:00 PM,9.5,9.5,16,Stump,N/A,19,green,N045,N045,9,10/22/2020,9:54:00 AM,10/29/2020,10:48:00 AM,7,PMEA_PLOB,PMEA_PLOB,2,PMEA,POSP,NORTH,BR,12.5,5,15,80,0,0,1,FIRST,2,YES,one,PMEA,,PLOB,,no video.ate one,N/A,N/A,N/A,,,"PLOB pale starting. Only ate POC, complete mortality"
