Exp_n,Cage,date_coral_in,time_coral_in,date_finish,combo_general_spp,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,method_order_determined,camera_evidence,n_videos_eating,n_pics_eating,n_hours_eat,date_time_start,visitied_first,first_eaten_visited_first,feeding_time,comments
36,C077,1/21/21,12:24:00 PM,1/31/21,PMEA_MCAP,POSP,NORTH,BR,5,4.5,5,MCAP,PMEA,,,Y_VIDEO,color change_video,NA,NA,NA,NA,PMEA,Y,overnight,
36,C077,1/21/21,12:24:00 PM,1/31/21,PMEA_MCAP,MCAP,SOUTH,EF,13,6.5,6,MCAP,PMEA,,,Y_VIDEO,ate on video,11,NA,11+,1/24/21 8:00,PMEA,Y,both_start_night,
40,C081,1/21/21,12:37:00 PM,1/31/21,PLOB_MPAT,PORM,NORTH,MD,11.5,8.5,9.5,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,"cage started rolling around, coral broke off and then in 2"
40,C081,1/21/21,12:37:00 PM,1/31/21,PLOB_MPAT,MPAT,SOUTH,EF,14,9,7,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,overnight,"cage started rolling around, coral broke off and then in 2"
43,C079,2/4/21,11:00:00 AM,2/11/21,PMEA_MPAT,POSP,NORTH,BR,10.5,5.5,12.5,MPAT,PMEA,,,Y_VIDEO,ate on video,1,NA,1+,2/7/21 7:00,MPAT,Y,both_start_night,got order of feeding from video. 
43,C079,2/4/21,11:00:00 AM,2/11/21,PMEA_MPAT,MPAT,SOUTH,EF,9,5,6,MPAT,PMEA,,,Y_VIDEO,ate on video,8,NA,8+,2/6/21 7:00,MPAT,Y,both_start_night,got order of feeding from video. 
47,C078,2/18/21,12:00:00 PM,3/4/21,PMEA_MCAP,POSP,SOUTH,BR,4,3,6.5,PMEA,MCAP,,,lab mates,NA,NA,NA,NA,NA,MCAP,N,overnight,
47,C078,2/18/21,12:00:00 PM,3/4/21,PMEA_MCAP,MCAP,NORTH,EF,5,3,2.5,PMEA,MCAP,,,lab mates,NA,NA,NA,NA,NA,MCAP,N,overnight,
48,C079,2/18/21,12:07:00 PM,3/4/21,PMEA_PCOM,POSP,NORTH,BR,10,6,8.5,PMEA,PCOM,,,Y_VIDEO,ate on first night,4,NA,4+,2/19/21 7:00,PMEA,Y,both_start_night,might have been eating the orange stringy stuff that was on the rock with the compressa; unintentionally eating PCOM
48,C079,2/18/21,12:07:00 PM,3/4/21,PMEA_PCOM,PCOM,SOUTH,KN,11.5,7.5,8.5,PMEA,PCOM,,,Y_VIDEO,NA,NA,NA,NA,NA,PMEA,Y,overnight,might have been eating the orange stringy stuff that was on the rock with the compressa; unintentionally eating PCOM
